Label (Grouping),RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher",RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher
        Estimate,,(X),99.10%,86.60%,(X),98.90%,85.30%,(X),64.80%,23.10%,(X),-,-,(X),100.00%,79.50%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,95.20%
        Margin of Error,,(X),±2.2,±8.6,(X),±2.5,±9.9,(X),±17.6,±11.7,(X),**,**,(X),±28.2,±27.4,(X),**,**,(X),±57.3,±57.3,(X),±68.6,±68.6,(X),±21.0,±8.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,731,720,638,654,643,561,232,135,42,0,0,0,47,47,35,0,0,0,9,9,9,7,7,7,86,86,86
        Margin of Error,,±226,±226,±217,±221,±221,±213,±90,±68,±38,±13,±13,±13,±36,±36,±33,±13,±13,±13,±20,±20,±20,±11,±11,±11,±77,±77,±77
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),98.50%,87.30%,(X),98.30%,85.80%,(X),58.20%,18.10%,(X),-,-,(X),100.00%,74.50%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±3.5,±9.0,(X),±3.9,±10.2,(X),±22.2,±14.8,(X),**,**,(X),±48.0,±37.1,(X),**,**,(X),±100.0,±100.0,(X),±100.0,±100.0,(X),±35.1,±35.1
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,430,430,368,348,348,294,166,123,50,0,0,0,70,70,58,0,0,0,24,24,24,16,16,16,82,82,74
        Margin of Error,,±102,±102,±94,±95,±95,±85,±74,±75,±32,±13,±13,±13,±46,±46,±40,±13,±13,±13,±36,±36,±36,±18,±18,±18,±68,±68,±64
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,85.60%,(X),100.00%,84.50%,(X),74.10%,30.10%,(X),-,-,(X),100.00%,82.90%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,90.20%
        Margin of Error,,(X),±8.9,±13.1,(X),±10.8,±15.5,(X),±26.2,±17.0,(X),**,**,(X),±39.3,±23.8,(X),**,**,(X),±67.2,±67.2,(X),±82.2,±82.2,(X),±36.1,±15.2
"Census Tract 64, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,415,415,387,388,388,360,"1,304",849,290,0,0,0,23,14,1,0,0,0,10,10,0,38,38,8,37,37,27
        Margin of Error,,±105,±105,±105,±105,±105,±105,±250,±193,±154,±13,±13,±13,±21,±22,±2,±13,±13,±13,±15,±15,±13,±36,±36,±13,±31,±31,±26
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,93.30%,(X),100.00%,92.80%,(X),65.10%,22.20%,(X),-,-,(X),60.90%,4.30%,(X),-,-,(X),100.00%,0.00%,(X),100.00%,21.10%,(X),100.00%,73.00%
        Margin of Error,,(X),±9.2,±7.3,(X),±9.8,±7.8,(X),±7.5,±9.6,(X),**,**,(X),±54.7,±10.5,(X),**,**,(X),±100.0,±100.0,(X),±53.4,±37.1,(X),±54.1,±37.4
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,240,240,228,240,240,228,498,320,161,0,0,0,22,13,0,0,0,0,0,0,0,21,21,0,0,0,0
        Margin of Error,,±94,±94,±94,±94,±94,±94,±168,±143,±102,±13,±13,±13,±21,±22,±13,±13,±13,±13,±13,±13,±13,±30,±30,±13,±13,±13,±13
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,95.00%,(X),100.00%,95.00%,(X),64.30%,32.30%,(X),-,-,(X),59.10%,0.00%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),-,-
        Margin of Error,,(X),±15.3,±6.5,(X),±15.3,±6.5,(X),±18.8,±17.0,(X),**,**,(X),±58.9,±70.1,(X),**,**,(X),**,**,(X),±71.8,±71.8,(X),**,**
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,175,175,159,148,148,132,806,529,129,0,0,0,1,1,1,0,0,0,10,10,0,17,17,8,37,37,27
        Margin of Error,,±68,±68,±67,±65,±65,±64,±188,±166,±106,±13,±13,±13,±2,±2,±2,±13,±13,±13,±15,±15,±13,±21,±21,±13,±31,±31,±26
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,90.90%,(X),100.00%,89.20%,(X),65.60%,16.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,0.00%,(X),100.00%,47.10%,(X),100.00%,73.00%
        Margin of Error,,(X),±20.3,±10.4,(X),±23.4,±12.8,(X),±11.0,±11.5,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±100.0,±100.0,(X),±79.8,±52.9,(X),±54.1,±37.4
"Census Tract 65, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,895","1,895","1,727","1,783","1,783","1,655",285,268,106,0,0,0,28,28,28,0,0,0,136,136,71,50,50,50,248,248,143
        Margin of Error,,±441,±441,±422,±422,±422,±416,±102,±90,±74,±13,±13,±13,±29,±29,±29,±13,±13,±13,±143,±143,±61,±51,±51,±51,±165,±165,±85
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,91.10%,(X),100.00%,92.80%,(X),94.00%,37.20%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,52.20%,(X),100.00%,100.00%,(X),100.00%,57.70%
        Margin of Error,,(X),±2.1,±5.9,(X),±2.2,±4.5,(X),±8.5,±22.0,(X),**,**,(X),±62.2,±62.2,(X),**,**,(X),±25.1,±19.4,(X),±46.5,±46.5,(X),±14.9,±20.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,849,849,769,803,803,731,98,98,67,0,0,0,16,16,16,0,0,0,71,71,71,27,27,27,106,106,98
        Margin of Error,,±157,±157,±157,±164,±164,±165,±75,±75,±63,±13,±13,±13,±24,±24,±24,±13,±13,±13,±61,±61,±61,±44,±44,±44,±77,±77,±77
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,90.60%,(X),100.00%,91.00%,(X),100.00%,68.40%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,92.50%
        Margin of Error,,(X),±4.6,±6.1,(X),±4.9,±6.2,(X),±32.2,±37.6,(X),**,**,(X),±82.2,±82.2,(X),**,**,(X),±39.0,±39.0,(X),±63.3,±63.3,(X),±30.4,±16.1
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,046","1,046",958,980,980,924,187,170,39,0,0,0,12,12,12,0,0,0,65,65,0,23,23,23,142,142,45
        Margin of Error,,±362,±362,±344,±350,±350,±345,±84,±77,±29,±13,±13,±13,±17,±17,±17,±13,±13,±13,±84,±84,±13,±24,±24,±24,±110,±110,±34
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,91.60%,(X),100.00%,94.30%,(X),90.90%,20.90%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,0.00%,(X),100.00%,100.00%,(X),100.00%,31.70%
        Margin of Error,,(X),±3.7,±9.8,(X),±4.0,±6.1,(X),±13.1,±15.2,(X),**,**,(X),±95.0,±95.0,(X),**,**,(X),±40.8,±40.8,(X),±68.6,±68.6,(X),±24.2,±32.0
"Census Tract 66, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,524","1,524","1,393","1,480","1,480","1,361",25,25,14,0,0,0,65,65,65,0,0,0,0,0,0,63,63,63,51,51,39
        Margin of Error,,±392,±392,±403,±394,±394,±404,±28,±28,±22,±13,±13,±13,±44,±44,±44,±13,±13,±13,±13,±13,±13,±43,±43,±43,±47,±47,±43
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,91.40%,(X),100.00%,92.00%,(X),100.00%,56.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,76.50%
        Margin of Error,,(X),±2.6,±5.2,(X),±2.7,±5.3,(X),±65.8,±56.0,(X),**,**,(X),±40.8,±40.8,(X),**,**,(X),**,**,(X),±41.5,±41.5,(X),±46.1,±34.7
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,727,727,687,696,696,668,25,25,14,0,0,0,23,23,23,0,0,0,0,0,0,8,8,8,32,32,20
        Margin of Error,,±197,±197,±193,±196,±196,±193,±28,±28,±22,±13,±13,±13,±28,±28,±28,±13,±13,±13,±13,±13,±13,±12,±12,±12,±29,±29,±23
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,94.50%,(X),100.00%,96.00%,(X),100.00%,56.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,62.50%
        Margin of Error,,(X),±5.3,±4.4,(X),±5.6,±3.8,(X),±65.8,±56.0,(X),**,**,(X),±68.6,±68.6,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±58.2,±47.3
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,797,797,706,784,784,693,0,0,0,0,0,0,42,42,42,0,0,0,0,0,0,55,55,55,19,19,19
        Margin of Error,,±232,±232,±236,±232,±232,±237,±13,±13,±13,±13,±13,±13,±36,±36,±36,±13,±13,±13,±13,±13,±13,±40,±40,±40,±25,±25,±25
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,88.60%,(X),100.00%,88.40%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±4.9,±8.7,(X),±5.0,±8.9,(X),**,**,(X),**,**,(X),±50.8,±50.8,(X),**,**,(X),**,**,(X),±44.4,±44.4,(X),±75.5,±75.5
"Census Tract 67, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"2,918","2,902","2,802","2,771","2,755","2,677",591,532,330,0,0,0,198,198,174,17,17,0,0,0,0,42,42,16,164,164,125
        Margin of Error,,±398,±393,±382,±376,±372,±370,±281,±269,±216,±13,±13,±13,±79,±79,±75,±25,±25,±13,±13,±13,±13,±43,±43,±18,±113,±113,±79
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),99.50%,96.00%,(X),99.40%,96.60%,(X),90.00%,55.80%,(X),-,-,(X),100.00%,87.90%,(X),100.00%,0.00%,(X),-,-,(X),100.00%,38.10%,(X),100.00%,76.20%
        Margin of Error,,(X),±0.8,±1.8,(X),±0.9,±1.7,(X),±11.1,±27.8,(X),**,**,(X),±18.2,±12.7,(X),±79.8,±79.8,(X),**,**,(X),±50.8,±52.5,(X),±21.4,±16.5
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,463","1,463","1,432","1,377","1,377","1,346",305,284,201,0,0,0,92,92,84,17,17,0,0,0,0,42,42,16,103,103,86
        Margin of Error,,±253,±253,±253,±250,±250,±251,±223,±223,±198,±13,±13,±13,±52,±52,±48,±25,±25,±13,±13,±13,±13,±43,±43,±18,±77,±77,±73
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,97.90%,(X),100.00%,97.70%,(X),93.10%,65.90%,(X),-,-,(X),100.00%,91.30%,(X),100.00%,0.00%,(X),-,-,(X),100.00%,38.10%,(X),100.00%,83.50%
        Margin of Error,,(X),±2.7,±1.7,(X),±2.9,±1.9,(X),±13.4,±33.4,(X),**,**,(X),±33.6,±12.3,(X),±79.8,±79.8,(X),**,**,(X),±50.8,±52.5,(X),±31.1,±25.0
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,455","1,439","1,370","1,394","1,378","1,331",286,248,129,0,0,0,106,106,90,0,0,0,0,0,0,0,0,0,61,61,39
        Margin of Error,,±290,±286,±277,±280,±278,±274,±115,±98,±66,±13,±13,±13,±49,±49,±44,±13,±13,±13,±13,±13,±13,±13,±13,±13,±44,±44,±28
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),98.90%,94.20%,(X),98.90%,95.50%,(X),86.70%,45.10%,(X),-,-,(X),100.00%,84.90%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,63.90%
        Margin of Error,,(X),±1.7,±3.3,(X),±1.8,±3.0,(X),±17.2,±28.0,(X),**,**,(X),±30.4,±20.8,(X),**,**,(X),**,**,(X),**,**,(X),±42.1,±43.4
"Census Tract 68.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,040","1,040",915,919,919,809,603,576,203,0,0,0,225,225,191,0,0,0,26,12,12,36,35,35,147,146,131
        Margin of Error,,±172,±172,±160,±151,±151,±132,±225,±218,±123,±13,±13,±13,±194,±194,±176,±13,±13,±13,±31,±19,±19,±29,±29,±29,±89,±90,±86
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,88.00%,(X),100.00%,88.00%,(X),95.50%,33.70%,(X),-,-,(X),100.00%,84.90%,(X),-,-,(X),46.20%,46.20%,(X),97.20%,97.20%,(X),99.30%,89.10%
        Margin of Error,,(X),±3.8,±7.6,(X),±4.3,±8.1,(X),±4.3,±15.3,(X),**,**,(X),±16.2,±18.3,(X),**,**,(X),±53.8,±53.8,(X),±7.2,±7.2,(X),±1.9,±15.1
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,518,518,424,518,518,424,250,241,54,0,0,0,127,127,127,0,0,0,0,0,0,13,13,13,13,13,13
        Margin of Error,,±96,±96,±91,±96,±96,±91,±127,±124,±44,±13,±13,±13,±164,±164,±164,±13,±13,±13,±13,±13,±13,±18,±18,±18,±18,±18,±18
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,81.90%,(X),100.00%,81.90%,(X),96.40%,21.60%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±7.4,±14.3,(X),±7.4,±14.3,(X),±6.3,±17.4,(X),**,**,(X),±26.5,±26.5,(X),**,**,(X),**,**,(X),±91.2,±91.2,(X),±91.2,±91.2
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,522,522,491,401,401,385,353,335,149,0,0,0,98,98,64,0,0,0,26,12,12,23,22,22,134,133,118
        Margin of Error,,±137,±137,±138,±93,±93,±94,±135,±131,±96,±13,±13,±13,±85,±85,±51,±13,±13,±13,±31,±19,±19,±21,±21,±21,±86,±86,±82
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,94.10%,(X),100.00%,96.00%,(X),94.90%,42.20%,(X),-,-,(X),100.00%,65.30%,(X),-,-,(X),46.20%,46.20%,(X),95.70%,95.70%,(X),99.30%,88.10%
        Margin of Error,,(X),±7.4,±5.6,(X),±9.5,±4.6,(X),±6.0,±19.3,(X),**,**,(X),±32.2,±22.5,(X),**,**,(X),±53.8,±53.8,(X),±11.4,±11.4,(X),±2.1,±16.8
"Census Tract 68.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,056","1,056","1,005",996,996,952,751,749,318,0,0,0,36,36,36,0,0,0,7,7,7,46,46,46,81,81,74
        Margin of Error,,±123,±123,±118,±116,±116,±109,±586,±586,±253,±13,±13,±13,±27,±27,±27,±13,±13,±13,±10,±10,±10,±34,±34,±34,±47,±47,±45
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,95.20%,(X),100.00%,95.60%,(X),99.70%,42.30%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,91.40%
        Margin of Error,,(X),±3.7,±3.3,(X),±3.9,±3.2,(X),±0.6,±11.0,(X),**,**,(X),±54.8,±54.8,(X),**,**,(X),±100.0,±100.0,(X),±48.5,±48.5,(X),±36.4,±14.6
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,520,520,479,482,482,448,336,334,41,0,0,0,19,19,19,0,0,0,0,0,0,30,30,30,52,52,45
        Margin of Error,,±81,±81,±76,±74,±74,±72,±352,±352,±39,±13,±13,±13,±20,±20,±20,±13,±13,±13,±13,±13,±13,±27,±27,±27,±33,±33,±31
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,92.10%,(X),100.00%,92.90%,(X),99.40%,12.20%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,86.50%
        Margin of Error,,(X),±7.4,±5.8,(X),±8.0,±5.7,(X),±1.6,±21.2,(X),**,**,(X),±75.5,±75.5,(X),**,**,(X),**,**,(X),±60.1,±60.1,(X),±45.6,±22.0
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,536,536,526,514,514,504,415,415,277,0,0,0,17,17,17,0,0,0,7,7,7,16,16,16,29,29,29
        Margin of Error,,±106,±106,±105,±105,±105,±101,±250,±250,±250,±13,±13,±13,±18,±18,±18,±13,±13,±13,±10,±10,±10,±16,±16,±16,±30,±30,±30
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,98.10%,(X),100.00%,98.10%,(X),100.00%,66.70%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±7.2,±3.0,(X),±7.5,±3.0,(X),±9.2,±26.9,(X),**,**,(X),±79.8,±79.8,(X),**,**,(X),±100.0,±100.0,(X),±82.2,±82.2,(X),±61.1,±61.1
"Census Tract 68.04, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,314,300,130,238,228,105,"1,867","1,303",102,43,43,22,7,7,0,0,0,0,50,28,0,20,20,20,142,116,25
        Margin of Error,,±135,±134,±63,±110,±108,±60,±296,±271,±73,±40,±40,±33,±17,±17,±13,±13,±13,±13,±51,±37,±13,±30,±30,±30,±86,±85,±31
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),95.50%,41.40%,(X),95.80%,44.10%,(X),69.80%,5.50%,(X),100.00%,51.20%,(X),100.00%,0.00%,(X),-,-,(X),56.00%,0.00%,(X),100.00%,100.00%,(X),81.70%,17.60%
        Margin of Error,,(X),±8.1,±18.3,(X),±9.5,±23.0,(X),±7.2,±3.6,(X),±50.2,±51.2,(X),±100.0,±100.0,(X),**,**,(X),±50.3,±46.5,(X),±73.6,±73.6,(X),±26.8,±17.6
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,195,185,77,144,134,52,"1,590","1,092",40,32,32,11,7,7,0,0,0,0,50,28,0,20,20,20,117,95,25
        Margin of Error,,±86,±82,±49,±71,±67,±42,±263,±217,±40,±32,±32,±22,±17,±17,±13,±13,±13,±13,±51,±37,±13,±30,±30,±30,±85,±79,±31
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),94.90%,39.50%,(X),93.10%,36.10%,(X),68.70%,2.50%,(X),100.00%,34.40%,(X),100.00%,0.00%,(X),-,-,(X),56.00%,0.00%,(X),100.00%,100.00%,(X),81.20%,21.40%
        Margin of Error,,(X),±11.5,±23.6,(X),±15.2,±29.3,(X),±7.5,±2.5,(X),±58.2,±60.0,(X),±100.0,±100.0,(X),**,**,(X),±50.3,±46.5,(X),±73.6,±73.6,(X),±29.8,±20.5
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,119,115,53,94,94,53,277,211,62,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,25,21,0
        Margin of Error,,±96,±98,±36,±73,±73,±36,±208,±194,±60,±24,±24,±24,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±32,±35,±13
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),96.60%,44.50%,(X),100.00%,56.40%,(X),76.20%,22.40%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),84.00%,0.00%
        Margin of Error,,(X),±10.5,±21.4,(X),±33.1,±24.1,(X),±21.0,±16.4,(X),±99.2,±99.2,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±71.0,±65.8
"Census Tract 69, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,508","1,508","1,471","1,506","1,506","1,469",336,308,134,0,0,0,10,10,10,0,0,0,1,1,0,64,64,64,39,39,39
        Margin of Error,,±193,±193,±193,±192,±192,±193,±79,±82,±73,±13,±13,±13,±18,±18,±18,±13,±13,±13,±2,±2,±13,±52,±52,±52,±36,±36,±36
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,97.50%,(X),100.00%,97.50%,(X),91.70%,39.90%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,0.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±2.6,±1.9,(X),±2.6,±1.9,(X),±8.0,±16.7,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±100.0,±100.0,(X),±41.1,±41.1,(X),±52.7,±52.7
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,762,762,760,762,762,760,141,127,56,0,0,0,0,0,0,0,0,0,1,1,0,34,34,34,34,34,34
        Margin of Error,,±129,±129,±129,±129,±129,±129,±52,±51,±41,±13,±13,±13,±13,±13,±13,±13,±13,±13,±2,±2,±13,±33,±33,±33,±33,±33,±33
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,99.70%,(X),100.00%,99.70%,(X),90.10%,39.70%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±5.1,±0.7,(X),±5.1,±0.7,(X),±14.5,±27.0,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±56.4,±56.4,(X),±56.4,±56.4
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,746,746,711,744,744,709,195,181,78,0,0,0,10,10,10,0,0,0,0,0,0,30,30,30,5,5,5
        Margin of Error,,±126,±126,±124,±125,±125,±123,±74,±75,±73,±13,±13,±13,±18,±18,±18,±13,±13,±13,±13,±13,±13,±36,±36,±36,±8,±8,±8
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,95.30%,(X),100.00%,95.30%,(X),92.80%,40.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±5.2,±3.6,(X),±5.2,±3.7,(X),±9.9,±26.9,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),±60.1,±60.1,(X),±100.0,±100.0
"Census Tract 70, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
